"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",0.439064157354036,24.8993674686293,0.803135442702229,38.4050519347942,0.75,1,20
"CEPH-Rtrend_fluH",0.66282076329701,9.76286914715719,1.34579118839014,16.1615384615385,0.484615384615385,0.935576923076923,1040
"CFA_Pyrenew-Pyrenew_HE_Flu",0.561987029928264,7.02248377107365,1.04650039232815,10.7561224489796,0.469387755102041,0.885714285714286,490
"CFA_Pyrenew-Pyrenew_H_Flu",0.751183980230679,9.55106642413487,1.40872003327015,14.7724489795918,0.528571428571429,0.948979591836735,490
"CMU-TimeSeries",0.601247430675032,8.83970006229354,1.23081593899183,14.6752331173525,0.464423076923077,0.957692307692308,1040
"CMU-climate_baseline",1.00531174819548,14.6388298481048,1.88901857034366,22.3449519230769,0.673076923076923,0.994230769230769,1040
"CU-ensemble",0.598884067115381,8.5758152173913,0.947233678352286,11.2487980769231,0.793269230769231,0.991586538461538,832
"FluSight-baseline",1,14.6303081103679,1,11.9673076923077,0.895192307692308,1,1040
"FluSight-ensemble",0.496765607447034,7.31161663879599,0.933740022120116,11.2182692307692,0.741346153846154,0.991346153846154,1040
"FluSight-lop_norm",0.533505409451783,7.82964799331104,0.91531980699448,11.0105769230769,0.8125,0.999038461538462,1040
"FluSight-trained_mean",0.539139786767771,7.90951360224488,1.01365509998118,12.1164462928746,0.585576923076923,0.948076923076923,1040
"FluSight-trained_med",0.545165455820211,7.9812874498804,0.998710388249431,11.9316617154812,0.675961538461539,0.982692307692308,1040
"Gatech-ensemble_point",0.904221759236663,13.0207629598662,1.76802234430437,20.7721153846154,0.531730769230769,0.977884615384615,1040
"Gatech-ensemble_prob",0.685721645385233,10.1292203177258,1.34448034427808,16.1942307692308,0.570192307692308,0.971153846153846,1040
"Google_SAI-FluBoostQR",0.539976019950197,7.82041787356665,1.08316534284976,12.7810782967033,0.501201923076923,0.967548076923077,832
"ISU_NiemiLab-GPE",0.700241151197428,10.4120347110746,1.11846673348153,13.4370375318874,0.745192307692308,0.975961538461538,624
"JHUAPL-DMD",1.25723282178707,19.2240215644375,1.64466500437529,20.6868836105986,0.963942307692308,1,416
"JHU_CSSE-CSSE_Ensemble",0.690123041956042,8.97743116481955,1.11740934499106,11.6129493464052,0.840686274509804,0.995098039215686,408
"LUcompUncertLab-chimera",0.86814805593841,11.2093206521739,1.59037436394705,16.8875,0.335,0.7875,400
"LosAlamos_NAU-CModel_Flu",0.789424755863469,12.4662595369983,1.4601642599238,18.5817307692308,0.451923076923077,0.887019230769231,416
"MIGHTE-Joint",0.709384598401379,9.57204292084727,0.893288042894829,9.99679487179487,0.738782051282051,0.956730769230769,624
"MIGHTE-Nsemble",0.714888751847289,10.1472805183946,1.02530438107963,12.0024038461538,0.669471153846154,0.936298076923077,832
"MOBS-GLEAM_FLUH",0.739257248221165,9.22411538907469,1.34714282673337,13.5615,0.261538461538462,0.708974358974359,780
"NEU_ISI-AdaptiveEnsemble",0.574381931294932,7.91668920324527,1.16204891270508,13.0598086124402,0.40311004784689,0.784688995215311,836
"NEU_ISI-FluBcast",0.528136608278429,6.6341057312253,1.04574558310351,10.6219008264463,0.452479338842975,0.794421487603306,968
"NIH-Flu_ARIMA",0.597714601444232,8.76801254180602,1.05347456754414,12.6105769230769,0.309615384615385,0.721153846153846,1040
"OHT_JHU-nbxd",0.536733036585519,7.74053984810479,1.03621532682573,12.1728685897436,0.565705128205128,0.943910256410256,624
"PSI-PROF",0.575998814275912,8.48590626672241,1.04622817137601,12.4983461538462,0.664423076923077,0.943269230769231,1040
"PSI-PROF_beta",0.594877320627408,8.75286589882943,1.01398890231534,12.1517788461538,0.636538461538461,0.946153846153846,1040
"SigSci-TSENS",0.892772119507809,11.9966198303287,1.15704751694422,12.640243902439,0.95630081300813,1,984
"Stevens-ILIForecast",1.92109796315852,26.0689757525084,2.38924487167136,27.1081730769231,0.0408653846153846,0.09375,416
"UGA_CEID-Walk",0.665728734009075,9.75462882943144,1.04980567500524,12.5296221153846,0.790384615384615,0.982692307692308,1040
"UGA_flucast-Copycat",0.498042987519693,7.3213139632107,0.94974058987098,11.3509615384615,0.476923076923077,0.890384615384615,1040
"UGA_flucast-INFLAenza",0.475258786991895,6.97222834657191,0.966144766482425,11.5903846153846,0.548076923076923,0.973076923076923,1040
"UGA_flucast-Scenariocast",0.637395461121421,9.32879389632107,1.25503874714744,14.9423076923077,0.540384615384615,0.931730769230769,1040
"UGuelph-CompositeCurve",0.610979695344157,9.23300219481605,0.951370964639534,11.6045673076923,0.162259615384615,0.375,832
"UI_CompEpi-EpiGen",1.01521154385983,13.547441602728,1.50514463398633,16.2147058823529,0.96078431372549,0.999019607843137,1020
"UM-DeepOutbreak",1.26778559402532,18.0715046771392,1.68967284888837,20.0176775477952,0.893028846153846,1,832
"UMass-AR2",0.716828603928889,10.5140033999605,1.18685498567764,14.1279812580392,0.727884615384615,0.990384615384615,1040
"UMass-flusion",0.495107393944059,7.34369997893755,0.923062032979322,11.1692966466402,0.602884615384615,0.977884615384615,1040
"UMass-trends_ensemble",0.524134437294669,7.67732336956522,0.943039295821624,11.2798076923077,0.568269230769231,0.875961538461538,1040
"UNC_IDD-InfluPaint",0.987629364683609,13.3045506495575,1.44596211953776,15.8479919418938,0.0803921568627451,0.359803921568627,1020
"UVAFluX-CESGCN",0.878803318807037,13.3517007721119,1.23935057558638,15.1995991392204,0.117307692307692,0.264423076923077,1040
"UVAFluX-Ensemble",0.80816773028714,11.769843645485,1.5341398468355,18.2048076923077,0.852884615384615,0.991346153846154,1040
"UVAFluX-OptimWISE",0.539170803620959,7.88040342809365,1.01965881940697,12.1307692307692,0.585576923076923,0.921153846153846,1040
"VTSanghani-PRIME",0.706595974184798,10.269131270903,1.22994076324591,14.6336538461538,0.711538461538462,0.975,1040
"fjordhest-ensemble",0.657323183413252,9.49794317255435,1.24696047754226,14.68708984375,0.6796875,0.978515625,1024
