"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",0,0.703263179006192,21.9207929576079,0.992478469531297,35.9037844724522,0.6,1,5
"CADPH-FluCAT_Ensemble",1,0.499689603953721,25.3403038037714,0.808627952623843,38.948391481558,0.6,1,5
"CADPH-FluCAT_Ensemble",2,0.360029041898512,24.0493044447425,0.669995194833301,34.5336193346496,0.8,1,5
"CADPH-FluCAT_Ensemble",3,0.344394932164945,28.2870686683954,0.805083390097191,44.234412450517,1,1,5
"CEPH-Rtrend_fluH",0,0.815101442450963,7.11941638795987,1.12979879001593,11.1115384615385,0.480769230769231,0.861538461538462,260
"CEPH-Rtrend_fluH",1,0.676183219774403,8.99604682274247,1.22381802954172,14.5923076923077,0.523076923076923,0.953846153846154,260
"CEPH-Rtrend_fluH",2,0.628356285087744,10.6433612040134,1.43414492781619,18.1230769230769,0.503846153846154,0.976923076923077,260
"CEPH-Rtrend_fluH",3,0.603662393637262,12.2210802675585,1.5587513989631,20.6884615384615,0.438461538461538,0.95,260
"CFA_Pyrenew-Pyrenew_HE_Flu",0,0.792961018982433,6.33762279503106,1.08527744231742,9.78367346938776,0.43265306122449,0.869387755102041,245
"CFA_Pyrenew-Pyrenew_HE_Flu",1,0.632045465065956,7.72580082519965,1.08355490935848,11.7612244897959,0.497959183673469,0.897959183673469,245
"CFA_Pyrenew-Pyrenew_H_Flu",0,0.972074449526567,7.79039971606034,1.35126392194046,12.2326530612245,0.518367346938776,0.942857142857143,245
"CFA_Pyrenew-Pyrenew_H_Flu",1,0.897382150780057,11.2738981721384,1.53911344602613,17.230612244898,0.538775510204082,0.955102040816327,245
"CMU-TimeSeries",0,0.907229588688889,7.91312464447901,1.2777857425149,12.5463409803696,0.526923076923077,0.969230769230769,260
"CMU-TimeSeries",1,0.664491875585722,8.92169688463904,1.23723496382501,14.8102182141824,0.446153846153846,0.957692307692308,260
"CMU-TimeSeries",2,0.540519472488057,9.23767254405829,1.2403895168216,15.6990744798199,0.442307692307692,0.953846153846154,260
