"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",2024-11-30,0.467029863923331,58.6430757098884,0.483025782927914,92.460860038003,1,1,1
"CADPH-FluCAT_Ensemble",2024-12-07,0.449891660521386,142.545378178838,0.585226428373993,275.211432518975,0.5,1,2
"CADPH-FluCAT_Ensemble",2024-12-14,0.454375758743768,209.399001903948,0.560648157083846,397.44657760363,0.666666666666667,1,3
"CADPH-FluCAT_Ensemble",2024-12-21,0.422730793542744,525.755230974225,0.619669068703573,1014.89429578227,0,1,4
"CADPH-FluCAT_Ensemble",2024-12-28,0.470975813045239,1001.90180381934,0.72976832378815,1839.99275653333,0,1,4
"CADPH-FluCAT_Ensemble",2025-01-04,0.478225137051663,776.557800415306,0.737150780711614,1470.13840459442,0,1,4
"CADPH-FluCAT_Ensemble",2025-01-11,0.553791112130977,368.950961710709,0.481458101542072,368.145738604973,0.75,1,4
"CADPH-FluCAT_Ensemble",2025-01-18,0.818633553557159,664.98629530485,0.804431054974402,847.955774964557,0.5,0.75,4
"CADPH-FluCAT_Ensemble",2025-01-25,0.90331324879942,1081.82352977481,1.11362135052242,1745.87161405703,0,0.666666666666667,3
"CADPH-FluCAT_Ensemble",2025-02-01,1.10318129324546,1537.07911792216,1.43515302043118,2428.42910398627,0,0.666666666666667,3
"CADPH-FluCAT_Ensemble",2025-02-08,1.26733779839882,777.915359777441,1.65784952448621,1271.52471601456,0.333333333333333,1,3
"CADPH-FluCAT_Ensemble",2025-02-15,0.858621583153947,307.041918008442,0.810611367592146,351.123661420323,1,1,3
"CADPH-FluCAT_Ensemble",2025-02-22,0.829299950170429,369.380980466513,0.614875599506962,404.352219817593,0.75,1,4
"CADPH-FluCAT_Ensemble",2025-03-01,0.779331239007275,459.940914121849,0.889897747903186,720.777158923445,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-03-08,0.460818198882061,281.548509807715,0.531729666526496,425.041145148135,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-03-15,0.395044788154802,196.826209694264,0.425504981168743,287.3205858253,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-03-22,0.282991378811006,94.3150670175924,0.208018601718729,90.095111110073,1,1,4
"CADPH-FluCAT_Ensemble",2025-03-29,0.227575018020419,67.8353726739281,0.128028732370581,50.3766994674392,1,1,4
"CADPH-FluCAT_Ensemble",2025-04-05,0.233593711876615,54.485915850566,0.124575073780468,40.7483962860823,1,1,4
"CADPH-FluCAT_Ensemble",2025-04-12,0.254361147414269,51.1893105283879,0.175687751785285,52.9160666564917,1,1,4
"CADPH-FluCAT_Ensemble",2025-04-19,0.26467049578045,36.6711164052202,0.122537078765774,25.576284651529,1,1,4
"CADPH-FluCAT_Ensemble",2025-04-26,0.394397945845196,34.3193536275662,0.326032107298903,34.6415854937995,1,1,4
"CADPH-FluCAT_Ensemble",2025-05-03,0.347566459846471,28.8784422724458,0.221951363674839,25.920885309885,0.75,1,4
"CADPH-FluCAT_Ensemble",2025-05-10,0.389236342011302,23.2062205050849,0.394096115027973,24.4758507869828,1,1,4
"CADPH-FluCAT_Ensemble",2025-05-17,0.349195627350061,19.7685748033418,0.306825829635319,18.5977737863442,1,1,4
"CADPH-FluCAT_Ensemble",2025-05-24,0.465196844669467,30.6750386485144,0.804809420283298,52.7983012245915,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-05-31,0.472294664539551,29.6240194483183,0.909085263282767,50.2826675739858,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-06-07,0.369347733898181,20.6223171102336,0.841572674803943,29.5460832348943,1,1,3
"CADPH-FluCAT_Ensemble",2025-06-14,0.384302940928361,24.7414736512872,0.95047002363694,30.7424842885775,1,1,2
"CADPH-FluCAT_Ensemble",2025-06-21,0.543653747225496,32.8497568426294,1.43743169256508,43.264128286508,1,1,1
"CEPH-Rtrend_fluH",2024-11-30,0.797368223393492,26.9205602006689,0.774299930765436,34,0.365384615384615,0.711538461538462,52
"CEPH-Rtrend_fluH",2024-12-07,0.710661715303572,30.8950668896321,0.65304023925449,40.875,0.403846153846154,0.740384615384615,104
"CEPH-Rtrend_fluH",2024-12-14,0.636696547873411,44.4638656633222,0.622167761544745,64.1089743589744,0.237179487179487,0.653846153846154,156
"CEPH-Rtrend_fluH",2024-12-21,0.620876596739301,97.3939757525084,0.661132270901888,136.9375,0.201923076923077,0.639423076923077,208
"CEPH-Rtrend_fluH",2024-12-28,0.697588227953406,242.614239130435,0.747096512545703,301.1875,0.0673076923076923,0.336538461538462,208
"CEPH-Rtrend_fluH",2025-01-04,0.699251152831556,315.849596571906,0.759893240093753,386.019230769231,0.0480769230769231,0.283653846153846,208
"CEPH-Rtrend_fluH",2025-01-11,0.712396769041526,163.106030245747,0.804017194031227,221.410628019324,0.202898550724638,0.603864734299517,207
"CEPH-Rtrend_fluH",2025-01-18,0.926681769769808,178.659466019417,1.02691134925578,246.922330097087,0.247572815533981,0.640776699029126,206
"CEPH-Rtrend_fluH",2025-01-25,1.08166817356523,276.496222473179,1.17376583026467,372.136363636364,0.253246753246753,0.62987012987013,154
"CEPH-Rtrend_fluH",2025-02-01,1.20759969969222,449.504589371981,1.28317971767678,561.947712418301,0.0915032679738562,0.366013071895425,153
"CEPH-Rtrend_fluH",2025-02-08,1.31697203817859,430.166928104575,1.36674052381982,523.960784313726,0.104575163398693,0.34640522875817,153
