"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",0,0.74000266684924,207.751746182248,0.891244684239938,323.368195380439,0.576923076923077,0.961538461538462,26
"CADPH-FluCAT_Ensemble",1,0.587176678242379,274.934946768098,0.722787438902411,446.491000319364,0.653846153846154,0.961538461538462,26
"CADPH-FluCAT_Ensemble",2,0.53721041061324,361.175577504635,0.642590060772047,555.030478810082,0.692307692307692,0.961538461538462,26
"CADPH-FluCAT_Ensemble",3,0.489426210371767,406.768187508355,0.574417835796062,620.058360146064,0.653846153846154,1,26
"CEPH-Rtrend_fluH",0,0.865718027232795,67.8734598624964,0.927651593218491,89.6740905716407,0.360801781737194,0.705270972531552,1347
"CEPH-Rtrend_fluH",1,0.726695186875143,93.2025150898938,0.790003316466562,126.046028210839,0.4543429844098,0.807720861172977,1347
"CEPH-Rtrend_fluH",2,0.660387708455359,112.869700138795,0.72441828785863,153.040831477357,0.462509279881218,0.839643652561247,1347
"CEPH-Rtrend_fluH",3,0.634972104065905,137.111990897647,0.692380667003059,183.029695619896,0.438010393466964,0.828507795100223,1347
"CFA_Pyrenew-Pyrenew_HE_Flu",0,0.706163378807461,12.2091979222778,0.837070561374177,18.3964601769912,0.465486725663717,0.872566371681416,565
"CFA_Pyrenew-Pyrenew_HE_Flu",1,0.619339801210557,13.9253855136591,0.727085185785955,21.3070796460177,0.483185840707965,0.906194690265487,565
"CFA_Pyrenew-Pyrenew_H_Flu",0,0.84418339323686,56.0416373550351,0.998949095156622,84.3656024716787,0.511843460350154,0.917610710607621,971
"CFA_Pyrenew-Pyrenew_H_Flu",1,0.802122119831944,83.3454522052568,0.970842862193115,130.955200823893,0.519052523171988,0.952626158599382,971
"CMU-TimeSeries",0,0.843234622775347,65.9499716273004,0.964917990215582,93.6999118749004,0.548816568047337,0.923076923076923,1352
"CMU-TimeSeries",1,0.706464128072418,91.0581011656949,0.801977886254069,129.091792329983,0.551775147928994,0.92085798816568,1352
"CMU-TimeSeries",2,0.651908633051378,112.843341117625,0.748392062728091,160.717515592187,0.546597633136095,0.901627218934911,1352
"CMU-TimeSeries",3,0.637181095462863,139.5655244308,0.731144874452792,197.339558846284,0.509615384615385,0.869822485207101,1352
"CMU-climate_baseline",0,2.1654418108542,163.369236384118,2.7629581439026,257.635518756442,0.45,0.889230769230769,1300
"CMU-climate_baseline",1,1.30460678593268,154.975284650346,1.61949421240879,241.232296514788,0.483076923076923,0.900769230769231,1300
"CMU-climate_baseline",2,0.977387209316547,148.59144642971,1.19207918195951,227.759885384802,0.506153846153846,0.897692307692308,1300
"CMU-climate_baseline",3,0.810056773456731,155.912872729385,0.965231479110078,231.799206743709,0.506923076923077,0.872307692307692,1300
"CU-ensemble",0,0.888828599892436,72.3198545150502,1.03808359633287,105.366153846154,0.519230769230769,0.886153846153846,1300
"CU-ensemble",1,0.730019582932174,97.7458026755853,0.811995921141957,136.519230769231,0.525384615384615,0.851538461538462,1300
"CU-ensemble",2,0.683415214743091,123.101862207358,0.748716963095803,168.044615384615,0.511538461538461,0.826923076923077,1300
"CU-ensemble",3,0.661489222356588,150.853626755853,0.716743453061006,201.543076923077,0.477692307692308,0.786923076923077,1300
"FluSight-baseline",0,1,78.5616908927193,1,97.5976331360947,0.255177514792899,0.791420118343195,1352
"FluSight-baseline",1,1,127.391246140983,1,160.432692307692,0.31508875739645,0.733727810650888,1352
"FluSight-baseline",2,1,172.257840236686,1,216.781804733728,0.333579881656805,0.685650887573965,1352
"FluSight-baseline",3,1,217.093991510162,1,270.954881656805,0.345414201183432,0.636094674556213,1352
"FluSight-ensemble",0,0.783081394001262,62.0834171597633,0.898096131191358,88.2810650887574,0.521449704142012,0.850591715976331,1352
"FluSight-ensemble",1,0.687028085095061,89.9084551067661,0.766007087893561,125.007396449704,0.53698224852071,0.824704142011834,1352
"FluSight-ensemble",2,0.654188441651402,114.919640468227,0.731536880718192,158.967455621302,0.503698224852071,0.806952662721893,1352
"FluSight-ensemble",3,0.637963703201543,142.679852392591,0.70930732719645,193.937130177515,0.497781065088757,0.779585798816568,1352
"FluSight-lop_norm",0,0.765924471033225,60.1883988294314,0.907268820122386,89.4245562130178,0.586538461538462,0.951923076923077,1352
