"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",2025-05-03,0.434892118191647,25.1436587870411,0.827953562399557,44.5027647399758,0.75,1,4
"CADPH-FluCAT_Ensemble",2025-05-10,0.369819432456953,19.5695362356042,0.427051139466211,20.0811952045183,1,1,4
"CADPH-FluCAT_Ensemble",2025-05-17,0.395271806894662,25.3244076115292,0.86728739319583,45.3256180748123,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-05-24,0.533637753231215,32.5733355546663,1.35618244283175,59.0588960350672,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-05-31,0.542943772963053,21.8858991543055,0.85126760626561,23.0567856195975,1,1,4
"CEPH-Rtrend_fluH",2025-05-03,0.593411697970312,9.64459866220736,1.02003461675999,15.7644230769231,0.596153846153846,0.980769230769231,208
"CEPH-Rtrend_fluH",2025-05-10,0.599204479653587,9.72427466555184,1.10568383944808,16.0096153846154,0.625,0.966346153846154,208
"CEPH-Rtrend_fluH",2025-05-17,0.628505896017291,8.7932525083612,1.42084345020023,15.0048076923077,0.480769230769231,0.971153846153846,208
"CEPH-Rtrend_fluH",2025-05-24,0.741450836838213,9.71294732441472,1.82491090309598,16.4951923076923,0.403846153846154,0.918269230769231,208
"CEPH-Rtrend_fluH",2025-05-31,0.786834702014983,10.9173244147157,1.68127416532564,17.4903846153846,0.322115384615385,0.841346153846154,208
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-03,0.493910495851973,7.2682637755102,0.838728926992189,11.7244897959184,0.5,0.918367346938776,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-10,0.587709778003224,7.09806965394854,1.06517297260576,11.2040816326531,0.448979591836735,0.897959183673469,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-17,0.560697939749084,6.68861708074534,1.12852368061132,10.3469387755102,0.469387755102041,0.857142857142857,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-24,0.640796893955375,7.54655967169476,1.32295569444581,10.8673469387755,0.510204081632653,0.857142857142857,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-31,0.576250755571831,6.58721745785271,1.09675728227372,9.73979591836735,0.408163265306122,0.887755102040816,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-03,0.683725523606568,10.2011123336291,1.12872727259775,15.9795918367347,0.530612244897959,0.959183673469388,98
